;x;y;z;t
322;230;107;108.0239396;21.72023964
323;230;98;109.4199835;21.76354957
324;230;91;108.0239396;21.81952167
325;229;85;108.6329498;21.88355279
326;229;80;108.6329498;21.94716954
327;229;77;110.0368642;22.00317931
328;228;77;108.6329498;22.06717753
329;227;77;106.6787133;22.12321305
330;226;79;106.6787133;22.18757033
331;227;83;106.0870374;22.2355206
332;227;88;105.6840537;22.2837739
333;227;96;106.4804176;22.33180308
334;226;104;103.2661619;22.38806486
335;227;116;104.0232671;22.43609142
336;227;129;104.0232671;22.48406816
337;225;141;101.6754207;22.54309964
338;223;157;105.3676084;22.60403228
339;221;174;109.3588499;22.66803455
340;219;188;107.3234786;22.73203206
341;218;201;105.9197415;22.79648709
342;215;214;106.4804176;22.86847758
343;212;224;105.6840537;22.9248569
344;207;232;106.255108;22.98885274
345;202;236;103.0986649;23.06086016
346;197;238;104.2217249;23.1088171
347;191;238;104.7968293;23.16956544
348;186;236;102.9831695;23.23058534
349;181;232;102.9831695;23.30714941
350;176;227;106.6787133;23.38449144
351;173;221;106.6787133;23.4494822
352;169;214;107.4248027;23.51397324
353;166;208;107.2801395;23.57992411
354;164;201;107.8915853;23.62979722
355;163;196;110.5220009;23.69261241
356;162;188;109.252106;23.78106833
357;161;181;108.6329498;23.8472085
358;161;174;108.0239396;23.91843891
359;164;169;110.0368642;23.98266602
360;167;163;113.0114362;24.05615163
361;172;157;108.8131036;24.1380322
362;178;154;106.8352765;24.20181394
363;184;155;106.8352765;24.25826526
364;188;157;106.255108;24.33100295
365;192;161;105.1218784;24.40301108
366;198;195;118.370516;24.47574687
367;197;204;111.9503284;24.54846811
368;192;215;107.4248027;24.61307979
369;183;224;105.5048526;24.68600464
370;174;229;103.0986649;24.74967742
371;167;231;101.8734558;24.80672908
372;161;231;100.6898561;24.87978959
373;156;230;99.54557429;24.94570088
374;150;226;102.4239199;25.0176146
375;146;221;102.4239199;25.09007168
376;144;215;102.4239199;25.15462756
377;143;209;105.5048526;25.2272625
378;145;202;108.2159587;25.30709791
379;149;196;110.255186;25.3711009
380;153;188;108.4685725;25.44354486
381;161;183;110.5377547;25.49987888
382;168;177;110.5377547;25.55663276
383;192;165;104.2881238;25.63729382
384;196;165;101.4785067;25.72160792
385;197;166;102.7278612;25.77743578
386;196;167;104.0232671;25.84591913
387;194;169;102.1976812;25.9256618
388;190;171;100.9547746;26.00883007
389;184;173;103.2661619;26.08084917
390;176;173;100.2725514;26.16207314
391;169;174;102.0102607;26.22605133
392;162;173;104.5683558;26.2820096
